product_uid,product_description

0MHc77B9cqN5PY8xnvu0,"Your trusted Colgate Strong Teeth Toothpaste now comes in it’s best ever formulation - With Amino Shakti. This new, best ever Colgate STRONG Teeth formula (*vs previous formula) provides 2X strengthening power by providing protection from mineral loss against acid attack vs. an ordinary fluoride toothpaste. It helps add natural calcium ~from saliva through fluoride action and strengthens teeth from within. This toothpaste also provides cleaner teeth and fresher breath with regular use, when used as directed as a part of your daily oral care hygiene and regular profession care routine, as directed by a dentist. Colgate is India’s most trusted oral care brand. As a trusted partner, we are committed to doing business with integrity and respect for all people and the world around you. Colgate offers quality oral care products, including toothpastes and toothbrushes,as well as expert dental health information. Colgate toothpastes are always 100% vegetarian, sugar free and gluten free. We care about our environment, Colgate India is the nation's first to earn TRUE Zero Waste Platinum certification for all its four manufacturing sites in India, from Green Business Certification Inc. (GBCI). This toothpaste is made in India, with highest quality standards."

1632aNRBOPuWZXyh3Np1,"Mirinda’s great orangey taste and sparkling bubbles encourage you to be carefree, spontaneous and playful! With no artificial flavor, a sip of Mirinda, with its bold taste, will switch on the Pagalpanti in you!"

1t2Vd853zKMeKqPjFtNd,"Win the power of both bar and powder in it, Rin Liquid Detergent gives whiter and brighter clothes so that you can dress to progress! As you stride forward on your journey through life, Rin gives you the confidence to shine, all day, every day. The formula blends the qualities of bar and powder and dissolves quickly in water to deep clean the most stubborn dirt areas. It also has a fresh fragrance which ensures your clothes smell pleasant throughout the day. Rin Liquid Detergent will replace your bar and powder at a pocket-friendly price. Rin Liquid can be used for machine and bucket wash and works well for both to give you the brightest results. Use 1 cap for a regular load and 2 caps for a very dirty load. For the toughest of dirt marks that simply refuse to budge, just apply Rin Liquid Detergent directly on the mark. It is available in 430 ml and 800 ml at an unbeatable price. With the combined power of powder and bar in one, get dazzling brightness with Rin Liquid Detergent. Washing instructions for bright clothes: 1. Apply a little liquid directly on dirt areas 2. Pour 1 cap of liquid for regular machine load or bucket wash 3. Pour 2 caps of liquid for large or very dirty loads"

5JEuQih83lVOv775p23I,"Organic & Protein rich No cholesterol, additives or impurities Unpolished and Cleaned Country of Origin: India Hygienically packed toor dal which is free from impurities such as weevils and stones Dals are sorted to deliver consistent quality of grains through the year"

7Eya6gbTlkgu4tQ5d8v4,"Did you know? Your baby's skin loses moisture 2 times faster & is more prone to dryness. Johnson's Baby Oil with Vitamin E is specially formulated for new born babies. Its gentle formula nourishes the skin, making it smooth and soft. Johnson's Baby Oil with delicate floral fragrance is clinically proven mild and keeps babies smelling fresh and fragrant longer. It comes with a mild fragrance that stays for a long time. Besides, it is non-sticky. Thus, your sweet little angel will not feel uncomfortable. The gentle Johnson's Baby Oil makes it easy for you to give your little one loving nourishment and your touch helps in stimulating her senses which is critical for her happy and healthy development. Mom's trust Johnson's - always mild, gentle and effective."

